gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,7169,256,2048,ck,2,0,15.7605,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,476.97,1197.74,0.0
gfx950,256,7170,256,2048,ck,2,0,15.8005,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,475.83,1194.87,0.0
gfx950,256,7176,256,2048,ck,2,0,15.8585,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,474.48,1191.47,0.0
gfx950,256,7177,256,2048,ck,2,0,15.7132,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,478.94,1202.65,0.0
gfx950,256,7185,256,2048,ck,2,0,15.8029,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,476.75,1197.11,0.0
gfx950,256,7206,256,2048,ck,2,0,15.864,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,476.3,1195.89,0.0
gfx950,256,7217,256,2048,ck,2,0,15.7447,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,480.64,1206.74,0.0
gfx950,256,7257,256,2048,ck,2,0,15.7962,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,481.73,1209.29,0.0
gfx950,256,7265,256,2048,ck,2,0,15.8123,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,481.77,1209.36,0.0
gfx950,256,7393,256,2048,ck,2,0,15.7708,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,491.55,1233.32,0.0
gfx950,256,7461,256,2048,ck,2,0,16.3591,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,478.23,1199.6,0.0
gfx950,256,7634,256,2048,ck,2,0,16.2234,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,493.41,1236.94,0.0
gfx950,256,8129,256,2048,ck,2,0,15.88,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,536.77,1343.48,0.0
gfx950,256,8192,256,2048,ck,2,0,16.1094,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,533.22,1334.36,0.0
gfx950,256,1,1024,2048,ck,8,0,6.884,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.61,305.24,0.0
gfx950,256,2,1024,2048,ck,8,0,6.9309,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.21,303.76,0.0
gfx950,256,4,1024,2048,ck,8,0,6.9336,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.42,304.83,0.0
gfx950,256,8,1024,2048,ck,8,0,6.9865,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.8,304.86,0.0
gfx950,256,16,1024,2048,ck,8,0,6.87,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,9.77,314.8,0.0
gfx950,256,32,1024,2048,ck,8,0,7.0824,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,18.95,314.61,0.0
gfx950,256,48,1024,2048,ck,8,0,7.126,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,28.25,321.89,0.0
gfx950,256,64,1024,2048,ck,8,0,7.1532,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,37.53,329.82,0.0
gfx950,256,80,1024,2048,ck,8,0,7.1677,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,46.81,338.3,0.0
gfx950,256,96,1024,2048,ck,8,0,7.2995,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,55.16,341.17,0.0
gfx950,256,112,1024,2048,ck,8,0,7.3435,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,63.97,348.05,0.0
gfx950,256,128,1024,2048,ck,8,0,7.2932,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,73.61,359.44,0.0
gfx950,256,256,1024,2048,ck,8,0,7.6121,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,141.06,413.25,0.0
